id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
213,agrl3694,rye,oats_cc,oats_cc,wwht,trit,rye,oats_cc,oats_cc,wwht,trit,rye,oats_cc,oats_cc,wwht,trit,rye,oats_cc,oats_cc,wwht,trit,rye,oats_cc,oats_cc,wwht,trit,rye,oats_cc,oats_cc,wwht,trit,rye,oats_cc,oats_cc,wwht,trit,0
214,agrl3713,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,0
215,agrl3714,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,rye,oats_cc,rye,buck,rye,0
216,agrl3824,rye,rye,csil_cc,oats_cc,barl,rye,rye,csil_cc,oats_cc,barl,rye,rye,csil_cc,oats_cc,barl,rye,rye,csil_cc,oats_cc,barl,rye,rye,csil_cc,oats_cc,barl,rye,rye,csil_cc,oats_cc,barl,rye,rye,csil_cc,oats_cc,barl,0
217,agrl3851,rye,rye,oats_cc,rye,oats_cc,rye,rye,oats_cc,rye,oats_cc,rye,rye,oats_cc,rye,oats_cc,rye,rye,oats_cc,rye,oats_cc,rye,rye,oats_cc,rye,oats_cc,rye,rye,oats_cc,rye,oats_cc,rye,rye,oats_cc,rye,oats_cc,0
218,agrl3972,rye,trit,rye,oats_cc,fpea,rye,trit,rye,oats_cc,fpea,rye,trit,rye,oats_cc,fpea,rye,trit,rye,oats_cc,fpea,rye,trit,rye,oats_cc,fpea,rye,trit,rye,oats_cc,fpea,rye,trit,rye,oats_cc,fpea,0
219,agrl4024,trit,alfa,rye,oats_cc,barl,trit,alfa,rye,oats_cc,barl,trit,alfa,rye,oats_cc,barl,trit,alfa,rye,oats_cc,barl,trit,alfa,rye,oats_cc,barl,trit,alfa,rye,oats_cc,barl,trit,alfa,rye,oats_cc,barl,0
220,agrl4061,trit,barl,wwht,fpea,wwht,trit,barl,wwht,fpea,wwht,trit,barl,wwht,fpea,wwht,trit,barl,wwht,fpea,wwht,trit,barl,wwht,fpea,wwht,trit,barl,wwht,fpea,wwht,trit,barl,wwht,fpea,wwht,0
221,agrl4168,trit,fesc_mgt,fesc_mgt,trit,canp,trit,fesc_mgt,fesc_mgt,trit,canp,trit,fesc_mgt,fesc_mgt,trit,canp,trit,fesc_mgt,fesc_mgt,trit,canp,trit,fesc_mgt,fesc_mgt,trit,canp,trit,fesc_mgt,fesc_mgt,trit,canp,trit,fesc_mgt,fesc_mgt,trit,canp,0
222,agrl4171,trit,fpea,canp,barl,fpea,trit,fpea,canp,barl,fpea,trit,fpea,canp,barl,fpea,trit,fpea,canp,barl,fpea,trit,fpea,canp,barl,fpea,trit,fpea,canp,barl,fpea,trit,fpea,canp,barl,fpea,0
223,agrl4187,trit,oats_cc,buck,pota,pota,trit,oats_cc,buck,pota,pota,trit,oats_cc,buck,pota,pota,trit,oats_cc,buck,pota,pota,trit,oats_cc,buck,pota,pota,trit,oats_cc,buck,pota,pota,trit,oats_cc,buck,pota,pota,0
224,agrl4192,trit,oats_cc,canp,trit,pota,trit,oats_cc,canp,trit,pota,trit,oats_cc,canp,trit,pota,trit,oats_cc,canp,trit,pota,trit,oats_cc,canp,trit,pota,trit,oats_cc,canp,trit,pota,trit,oats_cc,canp,trit,pota,0
225,agrl4307,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,0
226,agrl4308,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,trit,rye,csil_cc,barl,trit,0
